Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.759147	0.00141592	407.017	536.15
1/delta	0.00120214	3.54393e-09	407.779	339211
nu	0.0422929	1.25045e-07	14304.4	338221
A013-H12-09-07-2003	0.000341722	2.25952e-10	516.808	1.51237e+06
A077-H138-28-05-2009	1.06914e-06	5.7776e-13	1.97844	1.8505e+06
A077-H201-11-05-2009	1.06968e-06	5.78069e-13	1.97937	1.85043e+06
A077-H36-15-04-2009	1.0692e-06	5.77793e-13	1.97856	1.8505e+06
NODE_6	2.65468e-06	1.43458e-12	4.91246	1.85049e+06
NODE_7	1.0696e-06	5.7801e-13	1.9793	1.8505e+06
